word,index,occurance
strong,450,224
support,451,223
12,452,223
fiscal,453,223
3\/4,454,222
takeover,455,222
give,456,222
London,457,222
expects,458,221
services,459,221
orders,460,221
record,461,221
Big,462,220
research,463,218
certain,464,218
11,465,218
official,466,218
here,467,217
earthquake,468,217
junk,469,217
demand,470,217
Jones,471,216
my,472,216
August,473,215
news,474,215
old,475,213
priced,476,213
senior,477,213
25,478,213
3,479,213
need,480,213
On,481,212
control,482,212
know,483,211
took,484,211
employees,485,211
power,486,211
Inc,487,210
gain,488,210
Dow,489,210
Francisco,490,209
40,491,208
nearly,492,207
comment,493,207
13,494,206
annual,495,205
possible,496,205
level,497,205
members,498,205
Ms.,499,205
example,500,205
Monday,501,204
Texas,502,204
5,503,204
Chicago,504,204
Ford,505,203
meeting,506,203
drop,507,203
proposed,508,202
purchase,509,200
Senate,510,200
},511,199
return,512,199
Tuesday,513,199
show,514,199
paid,515,198
General,516,198
While,517,198
decline,518,198
October,519,197
future,520,197
workers,521,197
addition,522,197
{,523,196
estimated,524,195
rise,525,195
product,526,195
often,527,195
composite,528,195
deal,529,195
proposal,530,195
changes,531,195
Robert,532,194
South,533,194
latest,534,193
city,535,193
later,536,192
expect,537,192
nation,538,192
filed,539,191
almost,540,191
volume,541,191
executives,542,191
amount,543,190
life,544,190
Washington,545,190
line,546,190
paper,547,190
administration,548,189
building,549,189
better,550,189
top,551,189
position,552,188
charge,553,188
decision,554,188
named,555,188
offered,556,187
outstanding,557,187
makes,558,187
include,559,186
nine,560,186
Europe,561,186
spending,562,186
America,563,186
national,564,185
others,565,185
...,566,184
customers,567,184
enough,568,183
area,569,183
transaction,570,183
Ltd.,571,183
acquisition,572,183
order,573,182
currently,574,182
times,575,182
came,576,182
found,577,181
began,578,181
received,579,181
us,580,180
trying,581,180
500,582,180
able,583,179
James,584,178
estate,585,177
4,586,176
Warner,587,176
Union,588,176
again,589,176
European,590,176
service,591,175
East,592,174
yet,593,173
division,594,173
told,595,173
commercial,596,173
previous,597,172
your,598,172
holding,599,171
investor,600,171
lot,601,171
provide,602,171
dropped,603,171
9,604,171
've,605,170
ca,606,170
every,607,170
important,608,170
So,609,170
Capital,610,169
programs,611,169
claims,612,169
private,613,168
rights,614,168
China,615,167
never,616,166
Association,617,166
31,618,166
information,619,166
whose,620,166
suit,621,165
local,622,165
Corp,623,165
best,624,165
shareholders,625,165
got,626,165
fall,627,165
buy-out,628,165
inflation,629,165
action,630,164
dollars,631,164
managers,632,164
additional,633,164
charges,634,164
Tokyo,635,164
Co,636,163
units,637,163
gains,638,163
away,639,162
keep,640,162
within,641,162
once,642,162
low,643,162
things,644,162
manager,645,162
July,646,161
United,647,161
Mrs.,648,161
computers,649,161
raise,650,161
financing,651,160
TV,652,160
June,653,160
car,654,160
Sept.,655,159
via,656,159
construction,657,158
development,658,158
marketing,659,158
terms,660,158
consumer,661,157
believe,662,157
contracts,663,157
1\/4,664,156
lost,665,156
below,666,156
potential,667,156
run,668,156
Los,669,156
IBM,670,155
March,671,155
force,672,155
restructuring,673,155
Jaguar,674,154
What,675,154
full,676,154
taken,677,154
auto,678,154
gas,679,154
Fed,680,153
Now,681,153
following,682,153
Western,683,153
continued,684,153
Boston,685,152
getting,686,152
fact,687,151
6,688,151
Last,689,151
You,690,151
find,691,150
subsidiary,692,150
family,693,150
above,694,150
risk,695,150
To,696,150
With,697,150
equipment,698,150
place,699,149
account,700,149
Air,701,149
bills,702,149
probably,703,149
7,704,149
effort,705,148
60,706,148
advertising,707,148
noted,708,148
approved,709,148
itself,710,147
holders,711,147
special,712,147
effect,713,146
cases,714,146
equity,715,146
These,716,146
dividend,717,146
head,718,146
available,719,145
White,720,145
Pacific,721,145
face,722,145
David,723,145
figures,724,145
D.,725,145
data,726,144
drug,727,144
international,728,144
After,729,143
City,730,143
reached,731,143
legal,732,143
technology,733,142
statement,734,142
Sales,735,142
Commission,736,142
personal,737,142
led,738,141
included,739,141
reduce,740,141
Chairman,741,141
However,742,141
cars,743,141
open,744,140
Although,745,140
using,746,140
budget,747,140
loan,748,140
department,749,139
bought,750,139
efforts,751,139
Under,752,139
look,753,138
asked,754,138
known,755,138
payments,756,137
clear,757,137
1986,758,137
University,759,137
health,760,137
ad,761,137
left,762,137
rather,763,137
defense,764,136
By,765,136
An,766,136
working,767,136
team,768,136
Revenue,769,136
remain,770,135
coming,771,135
approval,772,135
biggest,773,135
increases,774,135
acquired,775,135
reports,776,135
saying,777,134
domestic,778,134
banking,779,134
Many,780,134
judge,781,134
portfolio,782,134
soon,783,134
job,784,134
raised,785,133
gained,786,133
calls,787,133
states,788,133
talks,789,133
similar,790,133
16,791,133
either,792,133
18,793,133
long-term,794,132
clients,795,132
5\/8,796,131
parent,797,131
Angeles,798,131
profits,799,131
hard,800,131
groups,801,130
levels,802,130
posted,803,130
looking,804,130
committee,805,130
Canadian,806,130
Germany,807,130
makers,808,129
Britain,809,129
union,810,129
lawyers,811,129
went,812,128
short,813,128
failed,814,128
damage,815,128
countries,816,128
airline,817,128
Most,818,128
finance,819,128
interests,820,127
lead,821,127
helped,822,127
me,823,127
along,824,127
Columbia,825,127
network,826,127
Hong,827,127
Michael,828,127
#,829,127
directors,830,126
Court,831,126
completed,832,126
different,833,126
William,834,125
investments,835,125
industrial,836,125
German,837,125
although,838,125
wants,839,125
'm,840,125
something,841,125
Canada,842,125
despite,843,125
strategy,844,125
growing,845,125
World,846,124
options,847,124
doing,848,124
given,849,124
question,850,124
goods,851,123
process,852,123
14,853,123
slightly,854,123
particularly,855,122
marks,856,122
hit,857,122
performance,858,122
percentage,859,122
manufacturing,860,122
involved,861,122
food,862,122
systems,863,122
Financial,864,122
Even,865,122
estimates,866,122
remains,867,121
toward,868,121
State,869,121
Drexel,870,121
S&P,871,121
build,872,121
Series,873,121
seeking,874,120
having,875,120
Kong,876,120
Committee,877,120
television,878,120
really,879,120
leaders,880,120
17,881,120
role,882,120
huge,883,120
themselves,884,119
legislation,885,119
scheduled,886,119
200,887,119
individual,888,119
name,889,119
plants,890,119
GM,891,119
previously,892,118
project,893,118
especially,894,118
begin,895,117
North,896,117
property,897,117
3\/8,898,116
acquire,899,116
range,900,116
pressure,901,116
year-earlier,902,116
concerns,903,116
basis,904,116
disclosed,905,116
7\/8,906,116
Merrill,907,116
Richard,908,115
start,909,115
buyers,910,115
hold,911,115
always,912,115
reason,913,115
leading,914,115
French,915,115
vote,916,115
owns,917,115
military,918,115
includes,919,114
currency,920,114
measure,921,114
accounts,922,114
Calif.,923,114
course,924,114
Wednesday,925,114
started,926,114
ever,927,113
producers,928,113
activity,929,113
fourth,930,113
joint,931,113
Thursday,932,113
hours,933,113
stores,934,113
key,935,113
issued,936,113
attorney,937,113
adds,938,112
Bay,939,112
venture,940,112
seen,941,112
Dec.,942,112
largely,943,112
competition,944,112
rules,945,112
view,946,111
steel,947,111
1\/8,948,111
Judge,949,111
related,950,111
recession,951,111
institutions,952,111
Industries,953,111
April,954,111
brokerage,955,111
Rep.,956,111
abortion,957,110
allow,958,110
Lynch,959,110
J.,960,110
areas,961,110
All,962,110
'll,963,110
thing,964,110
heavy,965,110
significant,966,110
seems,967,109
great,968,109
done,969,109
Among,970,109
try,971,109
reduced,972,109
taking,973,109
outside,974,109
estimate,975,108
needed,976,108
study,977,108
campaign,978,108
independent,979,108
required,980,108
settlement,981,108
`,982,108
meet,983,107
magazine,984,107
December,985,107
turn,986,107
She,987,107
seven,988,107
black,989,107
quickly,990,107
generally,991,107
Business,992,107
bad,993,107
means,994,106
retail,995,106
mortgage,996,106
staff,997,106
form,998,106
near,999,106
receive,1000,106
Shearson,1001,106
reserves,1002,106
benefits,1003,106
turned,1004,106
simply,1005,105
Still,1006,105
convertible,1007,105
arbitrage,1008,105
man,1009,105
showed,1010,105
PLC,1011,105
kind,1012,105
Airlines,1013,105
subject,1014,105
dealers,1015,105
impact,1016,105
Eastern,1017,105
projects,1018,105
seek,1019,105
produce,1020,104
ahead,1021,104
beginning,1022,104
A.,1023,104
traded,1024,104
Meanwhile,1025,104
instead,1026,104
thought,1027,104
free,1028,104
parts,1029,104
aid,1030,104
call,1031,103
France,1032,103
Analysts,1033,103
earned,1034,103
Investors,1035,103
fees,1036,103
gold,1037,103
brokers,1038,103
CBS,1039,103
situation,1040,103
series,1041,103
house,1042,102
150,1043,102
limited,1044,102
difficult,1045,102
seem,1046,102
considered,1047,102
trust,1048,101
eight,1049,101
Trust,1050,101
Journal,1051,101
shareholder,1052,101
taxes,1053,101
labor,1054,101
Institute,1055,100
longer,1056,100
Both,1057,100
floor,1058,100
Morgan,1059,100
boost,1060,100
smaller,1061,100
lines,1062,100
returns,1063,100
merger,1064,100
Since,1065,99
Moody,1066,99
summer,1067,99
sent,1068,99
pilots,1069,99
increasing,1070,99
school,1071,99
test,1072,99
Dr.,1073,99
deficit,1074,99
daily,1075,99
hurt,1076,99
changed,1077,99
owned,1078,98
planned,1079,98
partner,1080,98
crash,1081,98
history,1082,98
anything,1083,98
majority,1084,98
Express,1085,98
1992,1086,97
stock-index,1087,97
hand,1088,97
usually,1089,97
men,1090,97
No,1091,97
became,1092,97
attempt,1093,96
Systems,1094,96
wanted,1095,96
His,1096,96
note,1097,96
Average,1098,96
base,1099,96
leader,1100,96
announcement,1101,96
evidence,1102,96
active,1103,96
children,1104,95
worth,1105,95
Service,1106,95
volatility,1107,95
Americans,1108,95
filing,1109,95
congressional,1110,95
supply,1111,95
Kidder,1112,95
directly,1113,95
preferred,1114,94
yields,1115,94
caused,1116,94
Other,1117,94
May,1118,94
1985,1119,94
veto,1120,94
limit,1121,94
pound,1122,94
per,1123,94
delivery,1124,93
sharply,1125,93
70,1126,93
francs,1127,93
session,1128,93
de,1129,93
telephone,1130,93
conditions,1131,93
Sony,1132,93
jumped,1133,93
19,1134,93
sector,1135,92
1991,1136,92
designed,1137,92
Sen.,1138,92
light,1139,92
22,1140,92
built,1141,92
George,1142,92
auction,1143,92
spokeswoman,1144,92
Digital,1145,92
women,1146,91
brand,1147,91
minimum,1148,91
continuing,1149,91
24,1150,91
Insurance,1151,91
closing,1152,91
Smith,1153,91
rest,1154,91
transactions,1155,91
believes,1156,91
age,1157,91
wage,1158,90
machine,1159,90
separate,1160,90
consider,1161,90
survey,1162,90
created,1163,90
continues,1164,90
Reserve,1165,90
size,1166,90
creditors,1167,90
short-term,1168,90
Justice,1169,90
regulators,1170,90
center,1171,90
decided,1172,89
Industrial,1173,89
natural,1174,89
quake,1175,89
hopes,1176,89
Brothers,1177,89
Guber,1178,89
security,1179,89
35,1180,89
main,1181,89
paying,1182,89
21,1183,89
80,1184,89
Dinkins,1185,89
imports,1186,89
comes,1187,89
questions,1188,89
care,1189,88
himself,1190,88
conference,1191,88
sense,1192,88
brought,1193,88
member,1194,88
"1,000",1195,88
Peter,1196,88
According,1197,88
tons,1198,88
moves,1199,88
initial,1200,87
overseas,1201,87
machines,1202,87
why,1203,87
actually,1204,87
Peters,1205,87
produced,1206,87
quarterly,1207,87
Gorbachev,1208,87
SEC,1209,86
Fund,1210,86
letter,1211,86
behind,1212,86
effective,1213,86
75,1214,86
idea,1215,86
23,1216,86
Also,1217,86
strike,1218,86
press,1219,86
IRS,1220,86
Bond,1221,85
Qintex,1222,85
standard,1223,85
nothing,1224,85
software,1225,85
game,1226,85
Jr.,1227,85
Its,1228,85
Democratic,1229,85
spent,1230,85
side,1231,85
Motor,1232,85
agencies,1233,85
'd,1234,85
capacity,1235,85
space,1236,85
Because,1237,85
partly,1238,84
actual,1239,84
matter,1240,84
feel,1241,84
Hugo,1242,84
bring,1243,84
single,1244,84
Management,1245,84
exports,1246,84
Poland,1247,84
sure,1248,84
post,1249,84
unchanged,1250,83
Australia,1251,83
People,1252,83
newspaper,1253,83
final,1254,83
won,1255,83
shows,1256,83
hope,1257,83
forced,1258,83
Democrats,1259,83
Nissan,1260,83
leveraged,1261,83
package,1262,83
expenses,1263,83
protection,1264,83
night,1265,83
improve,1266,83
allowed,1267,83
sign,1268,83
term,1269,83
ability,1270,83
across,1271,83
stop,1272,82
woman,1273,82
trades,1274,82
followed,1275,82
running,1276,82
party,1277,82
January,1278,82
require,1279,82
28,1280,82
whole,1281,82
advanced,1282,82
rising,1283,82
holds,1284,82
needs,1285,81
operation,1286,81
media,1287,81
spring,1288,81
specific,1289,81
apparently,1290,81
R.,1291,81
rule,1292,81
45,1293,81
quality,1294,81
together,1295,81
activities,1296,81
Index,1297,81
water,1298,81
90,1299,81
quoted,1300,81
ways,1301,80
Computer,1302,80
avoid,1303,80
Despite,1304,80
let,1305,80
closely,1306,80
response,1307,80
young,1308,80
consumers,1309,80
thrift,1310,80
various,1311,80
Moreover,1312,79
instance,1313,79
Research,1314,79
trial,1315,79
Supreme,1316,79
payment,1317,79
greater,1318,79
offices,1319,79
article,1320,79
U.K.,1321,79
Baker,1322,79
decade,1323,78
slow,1324,78
cause,1325,78
Services,1326,78
pension,1327,78
Time,1328,78
serious,1329,78
spend,1330,78
signed,1331,78
economist,1332,78
play,1333,78
energy,1334,78
focus,1335,77
develop,1336,77
emergency,1337,77
provision,1338,77
developed,1339,77
300,1340,77
gave,1341,77
district,1342,77
field,1343,77
introduced,1344,77
jobs,1345,77
premium,1346,77
direct,1347,77
moved,1348,77
leave,1349,76
policies,1350,76
debentures,1351,76
offset,1352,76
valued,1353,76
battle,1354,76
familiar,1355,76
figure,1356,76
interview,1357,76
add,1358,76
opened,1359,76
Stanley,1360,75
"10,000",1361,75
offers,1362,75
sharp,1363,75
contributed,1364,75
step,1365,75
block,1366,75
stay,1367,75
provides,1368,75
managing,1369,75
feet,1370,75
win,1371,75
appear,1372,75
negative,1373,74
highly,1374,74
takes,1375,74
par,1376,74
morning,1377,74
Lawson,1378,74
fully,1379,74
giant,1380,74
Communications,1381,74
trader,1382,74
29,1383,74
Lehman,1384,74
ruling,1385,74
existing,1386,74
deals,1387,74
News,1388,73
Yesterday,1389,73
over-the-counter,1390,73
create,1391,73
relatively,1392,73
measures,1393,73
indicated,1394,73
interested,1395,73
talk,1396,73
amounts,1397,72
climbed,1398,72
medical,1399,72
provisions,1400,72
Investment,1401,72
discount,1402,72
26,1403,72
Valley,1404,72
chance,1405,72
target,1406,72
Two,1407,72
flat,1408,72
hands,1409,72
Data,1410,72
Electric,1411,72
cancer,1412,71
purchases,1413,71
institutional,1414,71
owners,1415,71
pretax,1416,71
alone,1417,71
pence,1418,71
properties,1419,71
Not,1420,71
resigned,1421,71
houses,1422,71
backed,1423,71
economists,1424,71
passed,1425,71
plunge,1426,71
Thomas,1427,71
willing,1428,71
2.5,1429,71
larger,1430,71
chain,1431,70
County,1432,70
declines,1433,70
jury,1434,70
ads,1435,70
fear,1436,70
widely,1437,70
Santa,1438,70
unless,1439,70
worked,1440,70
-,1441,70
benefit,1442,70
Administration,1443,70
Reagan,1444,70
facilities,1445,70
else,1446,70
maintain,1447,70
bankruptcy,1448,70
Manhattan,1449,70
provided,1450,70
Such,1451,70
lawyer,1452,69
approach,1453,69
forces,1454,69
risks,1455,69
substantial,1456,69
elected,1457,69
Secretary,1458,69
adding,1459,69
Swiss,1460,69
Motors,1461,69
cuts,1462,69
publicly,1463,69
speculation,1464,69
perhaps,1465,69
Hutton,1466,69
practice,1467,69
Another,1468,69
death,1469,69
Then,1470,69
students,1471,69
competitors,1472,69
necessary,1473,69
USX,1474,69
considering,1475,68
tough,1476,68
Johnson,1477,68
moving,1478,68
Commerce,1479,68
standards,1480,68
ones,1481,68
store,1482,68
tell,1483,68
goes,1484,68
raising,1485,68
Salomon,1486,68
transportation,1487,68
person,1488,68
totaled,1489,68
Mexico,1490,68
prevent,1491,68
Hurricane,1492,67
someone,1493,67
met,1494,67
acquisitions,1495,67
researchers,1496,67
Gulf,1497,67
Trade,1498,67
environmental,1499,67
Chemical,1500,67
rating,1501,67
sought,1502,67
land,1503,67
act,1504,67
carrier,1505,67
Lloyd,1506,67
fixed,1507,67
improved,1508,67
image,1509,67
read,1510,67
cited,1511,67
housing,1512,67
reflecting,1513,67
margins,1514,67
secretary,1515,67
laws,1516,66
list,1517,66
air,1518,66
Security,1519,66
Thatcher,1520,66
Paribas,1521,66
capital-gains,1522,66
remaining,1523,66
mostly,1524,66
date,1525,66
planning,1526,66
Ltd,1527,66
chemical,1528,66
!,1529,66
Charles,1530,66
giving,1531,66
forecast,1532,66
room,1533,66
hour,1534,66
Market,1535,66
Pentagon,1536,66
regulatory,1537,66
stand,1538,66
entire,1539,66
bidding,1540,65
review,1541,65
minority,1542,65
opening,1543,65
sports,1544,65
restrictions,1545,65
reorganization,1546,65
civil,1547,65
war,1548,65
real-estate,1549,65
Act,1550,65
attention,1551,65
27,1552,65
lose,1553,65
Markets,1554,65
appears,1555,65
story,1556,65
Health,1557,65
positions,1558,65
1.5,1559,65
rally,1560,65
Chinese,1561,65
ownership,1562,65
exchanges,1563,65
funding,1564,65
events,1565,65
Cray,1566,65
reach,1567,65
principal,1568,65
33,1569,65
so-called,1570,65
Nasdaq,1571,65
negotiations,1572,64
More,1573,64
Entertainment,1574,64
opposition,1575,64
claim,1576,64
book,1577,64
During,1578,64
Medical,1579,64
anyone,1580,64
individuals,1581,64
Associates,1582,64
Life,1583,64
immediately,1584,64
factors,1585,64
modest,1586,64
white,1587,64
particular,1588,64
materials,1589,64
consultant,1590,64
community,1591,64
parties,1592,64
Soviets,1593,63
expectations,1594,63
Indeed,1595,63
industries,1596,63
dividends,1597,63
safety,1598,63
access,1599,63
customer,1600,63
mean,1601,63
trend,1602,63
human,1603,63
heavily,1604,63
involving,1605,63
attributed,1606,63
44,1607,63
saw,1608,63
subordinated,1609,63
accept,1610,63
works,1611,63
electronic,1612,63
rejected,1613,63
30-year,1614,63
opportunity,1615,62
items,1616,62
overall,1617,62
bids,1618,62
traditional,1619,62
flow,1620,62
reduction,1621,62
carry,1622,62
November,1623,62
L.,1624,62
Mitsubishi,1625,62
Yet,1626,62
movie,1627,62
conservative,1628,62
Republican,1629,62
England,1630,62
experience,1631,62
savings,1632,62
spread,1633,62
believed,1634,62
monthly,1635,62
difference,1636,61
wrote,1637,61
Net,1638,61
chips,1639,61
Those,1640,61
drugs,1641,61
producer,1642,61
cover,1643,61
complete,1644,61
minutes,1645,61
Ohio,1646,61
organization,1647,61
Georgia-Pacific,1648,61
St.,1649,61
homes,1650,61
Savings,1651,61
Home,1652,61
miles,1653,61
couple,1654,61
maturity,1655,61
disaster,1656,60
requirements,1657,60
success,1658,60
split,1659,60
profitable,1660,60
Campeau,1661,60
mortgages,1662,60
weak,1663,60
Paul,1664,60
grow,1665,60
lack,1666,60
expensive,1667,60
Credit,1668,60
design,1669,60
mutual,1670,60
owner,1671,60
alleged,1672,60
Navigation,1673,60
partnership,1674,60
typically,1675,60
gives,1676,60
corn,1677,60
US$,1678,60
strength,1679,60
LIN,1680,60
C$,1681,60
farmers,1682,60
output,1683,60
pending,1684,60
world-wide,1685,60
option,1686,60
400,1687,60
E.,1688,60
manufacturers,1689,60
internal,1690,60
1994,1691,60
export,1692,60
engineering,1693,60
holdings,1694,59
runs,1695,59
treatment,1696,59
facility,1697,59
listed,1698,59
regional,1699,59
fraud,1700,59
sort,1701,59
police,1702,59
released,1703,59
players,1704,59
aircraft,1705,59
aimed,1706,59
fight,1707,59
Instead,1708,59
asset,1709,59
eventually,1710,59
season,1711,59
sometimes,1712,59
accounting,1713,59
slowdown,1714,58
headquarters,1715,58
reflects,1716,58
trouble,1717,58
beyond,1718,58
ending,1719,58
Manville,1720,58
magazines,1721,58
heart,1722,58
No.,1723,58
Philip,1724,58
purchased,1725,58
investigation,1726,58
central,1727,58
Brown,1728,58
Mixte,1729,58
panel,1730,58
waiting,1731,58
1984,1732,58
debate,1733,58
prepared,1734,58
details,1735,58
PaineWebber,1736,58
Separately,1737,58
Office,1738,58
Moscow,1739,58
showing,1740,58
appeal,1741,58
launched,1742,58
headed,1743,58
sources,1744,57
scientists,1745,57
partners,1746,57
retirement,1747,57
powerful,1748,57
Development,1749,57
controls,1750,57
steps,1751,57
expand,1752,57
charged,1753,57
poor,1754,57
highest,1755,57
lending,1756,57
version,1757,57
plunged,1758,57
values,1759,57
Arizona,1760,57
crime,1761,57
region,1762,57
trucks,1763,57
Chapter,1764,57
tried,1765,57
damaged,1766,57
Goldman,1767,57
successful,1768,57
experts,1769,57
material,1770,57
expansion,1771,57
AG,1772,57
increasingly,1773,57
complex,1774,56
Sears,1775,56
travel,1776,56
primarily,1777,56
Each,1778,56
everyone,1779,56
dispute,1780,56
client,1781,56
troubled,1782,56
putting,1783,56
mind,1784,56
broad,1785,56
popular,1786,56
victims,1787,56
represents,1788,56
drive,1789,56
schools,1790,56
M.,1791,56
Holdings,1792,56
SCI,1793,56
combined,1794,56
settled,1795,56
gets,1796,56
gene,1797,56
65,1798,56
original,1799,56
favor,1800,56
live,1801,56
Southern,1802,56
annually,1803,56
Korea,1804,56
Bell,1805,55
commission,1806,55
Of,1807,55
corporations,1808,55
words,1809,55
stations,1810,55
ratings,1811,55
tests,1812,55
amid,1813,55
Mass.,1814,55
employee,1815,55
technical,1816,55
mail,1817,55
concerned,1818,55
source,1819,55
AT&T,1820,55
Exxon,1821,55
guilty,1822,55
Power,1823,55
request,1824,55
bankers,1825,55
film,1826,55
portion,1827,55
grew,1828,55
slowing,1829,55
thousands,1830,55
roughly,1831,55
break,1832,55
adviser,1833,54
guidelines,1834,54
Times,1835,54
documents,1836,54
250,1837,54
vehicles,1838,54
competitive,1839,54
mark,1840,54
55,1841,54
phone,1842,54
certainly,1843,54
exercise,1844,54
residents,1845,54
actions,1846,54
Minister,1847,54
About,1848,54
Only,1849,54
shift,1850,54
Steel,1851,54
monetary,1852,54
trillion,1853,54
adjusted,1854,54
everything,1855,54
