word\t index\t occurance
may\t 109\t 772
most\t 110\t 766
cents\t 111\t 745
any\t 112\t 727
we\t 113\t 725
many\t 114\t 720
'\t 115\t 712
time\t 116\t 704
say\t 117\t 701
quarter\t 118\t 682
there\t 119\t 680
prices\t 120\t 677
no\t 121\t 671
down\t 122\t 663
people\t 123\t 662
now\t 124\t 658
price\t 125\t 655
week\t 126\t 654
them\t 127\t 650
months\t 128\t 646
much\t 129\t 642
rose\t 130\t 636
so\t 131\t 611
interest\t 132\t 609
group\t 133\t 604
investors\t 134\t 601
bonds\t 135\t 596
1\t 136\t 592
make\t 137\t 592
even\t 138\t 590
next\t 139\t 576
American\t 140\t 576
earnings\t 141\t 566
did\t 142\t 563
what\t 143\t 562
you\t 144\t 561
through\t 145\t 558
three\t 146\t 558
We\t 147\t 538
yesterday\t 148\t 536
program\t 149\t 535
earlier\t 150\t 533
just\t 151\t 530
major\t 152\t 530
made\t 153\t 529
under\t 154\t 528
industry\t 155\t 524
stocks\t 156\t 521
And\t 157\t 518
10\t 158\t 517
net\t 159\t 514
executive\t 160\t 514
Japanese\t 161\t 511
chief\t 162\t 510
investment\t 163\t 503
month\t 164\t 500
expected\t 165\t 500
money\t 166\t 500
rate\t 167\t 499
unit\t 168\t 494
does\t 169\t 491
days\t 170\t 489
state\t 171\t 486
before\t 172\t 485
those\t 173\t 484
federal\t 174\t 483
officials\t 175\t 479
off\t 176\t 479
30\t 177\t 473
like\t 178\t 472
while\t 179\t 467
plan\t 180\t 466
against\t 181\t 463
between\t 182\t 458
buy\t 183\t 457
rates\t 184\t 452
issue\t 185\t 452
sell\t 186\t 449
They\t 187\t 448
recent\t 188\t 448
since\t 189\t 447
still\t 190\t 446
For\t 191\t 441
own\t 192\t 440
financial\t 193\t 438
get\t 194\t 438
Exchange\t 195\t 436
ago\t 196\t 436
That\t 197\t 433
she\t 198\t 431
big\t 199\t 431
firm\t 200\t 430
Japan\t 201\t 430
chairman\t 202\t 429
income\t 203\t 428
these\t 204\t 425
funds\t 205\t 425
back\t 206\t 420
her\t 207\t 414
offer\t 208\t 413
profit\t 209\t 413
debt\t 210\t 412
well\t 211\t 411
part\t 212\t 409
should\t 213\t 405
higher\t 214\t 405
bank\t 215\t 404
including\t 216\t 404
being\t 217\t 401
products\t 218\t 401
15\t 219\t 401
analysts\t 220\t 400
securities\t 221\t 398
fell\t 222\t 395
take\t 223\t 392
past\t 224\t 386
work\t 225\t 384
This\t 226\t 384
1988\t 227\t 383
If\t 228\t 382
way\t 229\t 374
House\t 230\t 374
reported\t 231\t 374
8\t 232\t 373
operations\t 233\t 371
end\t 234\t 370
tax\t 235\t 369
lower\t 236\t 367
?\t 237\t 365
plans\t 238\t 363
sold\t 239\t 363
markets\t 240\t 362
sale\t 241\t 362
common\t 242\t 362
both\t 243\t 362
yen\t 244\t 361
yield\t 245\t 359
growth\t 246\t 359
pay\t 247\t 359
during\t 248\t 359
very\t 249\t 355
each\t 250\t 355
bid\t 251\t 352
Bank\t 252\t 352
use\t 253\t 351
less\t 254\t 349
loss\t 255\t 347
where\t 256\t 345
how\t 257\t 345
another\t 258\t 344
banks\t 259\t 344
vice\t 260\t 343
cash\t 261\t 343
economic\t 262\t 343
high\t 263\t 340
50\t 264\t 340
five\t 265\t 339
few\t 266\t 339
good\t 267\t 338
costs\t 268\t 338
average\t 269\t 337
increase\t 270\t 337
used\t 271\t 336
our\t 272\t 336
Bush\t 273\t 334
due\t 274\t 333
current\t 275\t 333
issues\t 276\t 332
As\t 277\t 332
're\t 278\t 331
might\t 279\t 331
several\t 280\t 330
20\t 281\t 324
index\t 282\t 323
closed\t 283\t 322
Stock\t 284\t 321
added\t 285\t 320
Friday\t 286\t 318
At\t 287\t 317
then\t 288\t 317
Congress\t 289\t 317
1989\t 290\t 316
least\t 291\t 316
early\t 292\t 314
National\t 293\t 313
number\t 294\t 311
spokesman\t 295\t 309
2\t 296\t 309
director\t 297\t 309
British\t 298\t 309
September\t 299\t 309
day\t 300\t 308
case\t 301\t 308
concern\t 302\t 308
report\t 303\t 307
stake\t 304\t 307
too\t 305\t 307
foreign\t 306\t 307
California\t 307\t 306
Some\t 308\t 306
according\t 309\t 306
public\t 310\t 305
assets\t 311\t 304
far\t 312\t 301
Oct.\t 313\t 300
trade\t 314\t 300
Treasury\t 315\t 299
contract\t 316\t 298
think\t 317\t 297
There\t 318\t 297
law\t 319\t 297
same\t 320\t 297
board\t 321\t 297
third\t 322\t 295
going\t 323\t 295
based\t 324\t 294
bill\t 325\t 293
officer\t 326\t 293
small\t 327\t 292
revenue\t 328\t 292
already\t 329\t 291
close\t 330\t 290
exchange\t 331\t 289
move\t 332\t 289
help\t 333\t 288
real\t 334\t 287
among\t 335\t 287
value\t 336\t 286
court\t 337\t 285
International\t 338\t 283
system\t 339\t 283
ended\t 340\t 282
agreed\t 341\t 282
oil\t 342\t 282
late\t 343\t 281
him\t 344\t 281
insurance\t 345\t 280
economy\t 346\t 280
1990\t 347\t 279
One\t 348\t 278
futures\t 349\t 277
100\t 350\t 276
agency\t 351\t 276
agreement\t 352\t 275
First\t 353\t 272
Board\t 354\t 271
period\t 355\t 270
operating\t 356\t 270
San\t 357\t 269
want\t 358\t 269
firms\t 359\t 267
Federal\t 360\t 267
computer\t 361\t 266
traders\t 362\t 266
capital\t 363\t 265
world\t 364\t 265
1\/2\t 365\t 265
little\t 366\t 264
cost\t 367\t 262
likely\t 368\t 262
until\t 369\t 262
called\t 370\t 261
1987\t 371\t 261
office\t 372\t 261
results\t 373\t 260
offering\t 374\t 260
problems\t 375\t 259
former\t 376\t 259
Street\t 377\t 259
production\t 378\t 257
six\t 379\t 256
Wall\t 380\t 256
long\t 381\t 255
increased\t 382\t 255
maker\t 383\t 254
four\t 384\t 254
compared\t 385\t 254
see\t 386\t 253
country\t 387\t 253
management\t 388\t 253
policy\t 389\t 252
Securities\t 390\t 252
second\t 391\t 251
analyst\t 392\t 251
continue\t 393\t 251
whether\t 394\t 251
put\t 395\t 250
half\t 396\t 249
West\t 397\t 249
large\t 398\t 249
total\t 399\t 248
President\t 400\t 248
dollar\t 401\t 248
bond\t 402\t 248
set\t 403\t 247
buying\t 404\t 247
loans\t 405\t 247
notes\t 406\t 246
Group\t 407\t 246
go\t 408\t 246
cut\t 409\t 246
point\t 410\t 246
Soviet\t 411\t 246
around\t 412\t 245
without\t 413\t 245
general\t 414\t 245
losses\t 415\t 244
political\t 416\t 244
Department\t 417\t 244
third-quarter\t 418\t 243
corporate\t 419\t 243
recently\t 420\t 242
fund\t 421\t 241
points\t 422\t 239
Nov.\t 423\t 238
home\t 424\t 238
UAL\t 425\t 238
largest\t 426\t 237
wo\t 427\t 236
must\t 428\t 236
today\t 429\t 236
right\t 430\t 235
though\t 431\t 235
John\t 432\t 234
selling\t 433\t 234
announced\t 434\t 233
further\t 435\t 232
however\t 436\t 231
problem\t 437\t 229
result\t 438\t 229
come\t 439\t 228
businesses\t 440\t 228
plant\t 441\t 227
change\t 442\t 227
credit\t 443\t 226
declined\t 444\t 226
held\t 445\t 226
weeks\t 446\t 226
making\t 447\t 225
When\t 448\t 224
become\t 449\t 224
strong\t 450\t 224
support\t 451\t 223
12\t 452\t 223
fiscal\t 453\t 223
3\/4\t 454\t 222
takeover\t 455\t 222
give\t 456\t 222
London\t 457\t 222
expects\t 458\t 221
services\t 459\t 221
orders\t 460\t 221
record\t 461\t 221
Big\t 462\t 220
research\t 463\t 218
certain\t 464\t 218
11\t 465\t 218
official\t 466\t 218
here\t 467\t 217
earthquake\t 468\t 217
junk\t 469\t 217
demand\t 470\t 217
Jones\t 471\t 216
my\t 472\t 216
August\t 473\t 215
news\t 474\t 215
old\t 475\t 213
priced\t 476\t 213
senior\t 477\t 213
25\t 478\t 213
3\t 479\t 213
need\t 480\t 213
On\t 481\t 212
control\t 482\t 212
know\t 483\t 211
took\t 484\t 211
employees\t 485\t 211
power\t 486\t 211
Inc\t 487\t 210
gain\t 488\t 210
Dow\t 489\t 210
Francisco\t 490\t 209
40\t 491\t 208
nearly\t 492\t 207
comment\t 493\t 207
13\t 494\t 206
annual\t 495\t 205
possible\t 496\t 205
level\t 497\t 205
members\t 498\t 205
Ms.\t 499\t 205
example\t 500\t 205
Monday\t 501\t 204
Texas\t 502\t 204
5\t 503\t 204
Chicago\t 504\t 204
Ford\t 505\t 203
meeting\t 506\t 203
drop\t 507\t 203
proposed\t 508\t 202
purchase\t 509\t 200
Senate\t 510\t 200
}\t 511\t 199
return\t 512\t 199
Tuesday\t 513\t 199
show\t 514\t 199
paid\t 515\t 198
General\t 516\t 198
While\t 517\t 198
decline\t 518\t 198
October\t 519\t 197
future\t 520\t 197
workers\t 521\t 197
addition\t 522\t 197
{\t 523\t 196
estimated\t 524\t 195
rise\t 525\t 195
product\t 526\t 195
often\t 527\t 195
composite\t 528\t 195
deal\t 529\t 195
proposal\t 530\t 195
changes\t 531\t 195
Robert\t 532\t 194
South\t 533\t 194
latest\t 534\t 193
city\t 535\t 193
later\t 536\t 192
expect\t 537\t 192
nation\t 538\t 192
filed\t 539\t 191
almost\t 540\t 191
volume\t 541\t 191
executives\t 542\t 191
amount\t 543\t 190
life\t 544\t 190
Washington\t 545\t 190
line\t 546\t 190
paper\t 547\t 190
administration\t 548\t 189
building\t 549\t 189
better\t 550\t 189
top\t 551\t 189
position\t 552\t 188
charge\t 553\t 188
decision\t 554\t 188
named\t 555\t 188
offered\t 556\t 187
outstanding\t 557\t 187
makes\t 558\t 187
include\t 559\t 186
nine\t 560\t 186
Europe\t 561\t 186
spending\t 562\t 186
America\t 563\t 186
national\t 564\t 185
others\t 565\t 185
...\t 566\t 184
customers\t 567\t 184
enough\t 568\t 183
area\t 569\t 183
transaction\t 570\t 183
Ltd.\t 571\t 183
acquisition\t 572\t 183
order\t 573\t 182
currently\t 574\t 182
times\t 575\t 182
came\t 576\t 182
found\t 577\t 181
began\t 578\t 181
received\t 579\t 181
us\t 580\t 180
trying\t 581\t 180
500\t 582\t 180
able\t 583\t 179
James\t 584\t 178
estate\t 585\t 177
4\t 586\t 176
Warner\t 587\t 176
Union\t 588\t 176
again\t 589\t 176
European\t 590\t 176
service\t 591\t 175
East\t 592\t 174
yet\t 593\t 173
division\t 594\t 173
told\t 595\t 173
commercial\t 596\t 173
previous\t 597\t 172
your\t 598\t 172
holding\t 599\t 171
investor\t 600\t 171
lot\t 601\t 171
provide\t 602\t 171
dropped\t 603\t 171
9\t 604\t 171
've\t 605\t 170
ca\t 606\t 170
every\t 607\t 170
important\t 608\t 170
So\t 609\t 170
Capital\t 610\t 169
programs\t 611\t 169
claims\t 612\t 169
private\t 613\t 168
rights\t 614\t 168
China\t 615\t 167
never\t 616\t 166
Association\t 617\t 166
31\t 618\t 166
information\t 619\t 166
whose\t 620\t 166
suit\t 621\t 165
local\t 622\t 165
Corp\t 623\t 165
best\t 624\t 165
shareholders\t 625\t 165
got\t 626\t 165
fall\t 627\t 165
buy-out\t 628\t 165
inflation\t 629\t 165
action\t 630\t 164
dollars\t 631\t 164
managers\t 632\t 164
additional\t 633\t 164
charges\t 634\t 164
Tokyo\t 635\t 164
Co\t 636\t 163
units\t 637\t 163
gains\t 638\t 163
away\t 639\t 162
keep\t 640\t 162
within\t 641\t 162
once\t 642\t 162
low\t 643\t 162
things\t 644\t 162
manager\t 645\t 162
July\t 646\t 161
United\t 647\t 161
Mrs.\t 648\t 161
computers\t 649\t 161
raise\t 650\t 161
financing\t 651\t 160
TV\t 652\t 160
June\t 653\t 160
car\t 654\t 160
Sept.\t 655\t 159
via\t 656\t 159
construction\t 657\t 158
development\t 658\t 158
marketing\t 659\t 158
terms\t 660\t 158
consumer\t 661\t 157
believe\t 662\t 157
contracts\t 663\t 157
1\/4\t 664\t 156
lost\t 665\t 156
below\t 666\t 156
potential\t 667\t 156
run\t 668\t 156
Los\t 669\t 156
IBM\t 670\t 155
March\t 671\t 155
force\t 672\t 155
restructuring\t 673\t 155
Jaguar\t 674\t 154
What\t 675\t 154
full\t 676\t 154
taken\t 677\t 154
auto\t 678\t 154
gas\t 679\t 154
Fed\t 680\t 153
Now\t 681\t 153
following\t 682\t 153
Western\t 683\t 153
continued\t 684\t 153
Boston\t 685\t 152
getting\t 686\t 152
fact\t 687\t 151
6\t 688\t 151
Last\t 689\t 151
You\t 690\t 151
find\t 691\t 150
subsidiary\t 692\t 150
family\t 693\t 150
above\t 694\t 150
risk\t 695\t 150
To\t 696\t 150
With\t 697\t 150
equipment\t 698\t 150
place\t 699\t 149
account\t 700\t 149
Air\t 701\t 149
bills\t 702\t 149
probably\t 703\t 149
7\t 704\t 149
effort\t 705\t 148
60\t 706\t 148
advertising\t 707\t 148
noted\t 708\t 148
approved\t 709\t 148
itself\t 710\t 147
holders\t 711\t 147
special\t 712\t 147
effect\t 713\t 146
cases\t 714\t 146
equity\t 715\t 146
These\t 716\t 146
dividend\t 717\t 146
head\t 718\t 146
available\t 719\t 145
White\t 720\t 145
Pacific\t 721\t 145
face\t 722\t 145
David\t 723\t 145
figures\t 724\t 145
D.\t 725\t 145
data\t 726\t 144
drug\t 727\t 144
international\t 728\t 144
After\t 729\t 143
City\t 730\t 143
reached\t 731\t 143
legal\t 732\t 143
technology\t 733\t 142
statement\t 734\t 142
Sales\t 735\t 142
Commission\t 736\t 142
personal\t 737\t 142
led\t 738\t 141
included\t 739\t 141
reduce\t 740\t 141
Chairman\t 741\t 141
However\t 742\t 141
cars\t 743\t 141
open\t 744\t 140
Although\t 745\t 140
using\t 746\t 140
budget\t 747\t 140
loan\t 748\t 140
department\t 749\t 139
bought\t 750\t 139
efforts\t 751\t 139
Under\t 752\t 139
look\t 753\t 138
asked\t 754\t 138
known\t 755\t 138
payments\t 756\t 137
clear\t 757\t 137
1986\t 758\t 137
University\t 759\t 137
health\t 760\t 137
ad\t 761\t 137
left\t 762\t 137
rather\t 763\t 137
defense\t 764\t 136
By\t 765\t 136
An\t 766\t 136
working\t 767\t 136
team\t 768\t 136
Revenue\t 769\t 136
remain\t 770\t 135
coming\t 771\t 135
approval\t 772\t 135
biggest\t 773\t 135
increases\t 774\t 135
acquired\t 775\t 135
reports\t 776\t 135
saying\t 777\t 134
domestic\t 778\t 134
banking\t 779\t 134
Many\t 780\t 134
judge\t 781\t 134
portfolio\t 782\t 134
soon\t 783\t 134
job\t 784\t 134
raised\t 785\t 133
gained\t 786\t 133
calls\t 787\t 133
states\t 788\t 133
talks\t 789\t 133
similar\t 790\t 133
16\t 791\t 133
either\t 792\t 133
18\t 793\t 133
long-term\t 794\t 132
clients\t 795\t 132
5\/8\t 796\t 131
parent\t 797\t 131
Angeles\t 798\t 131
profits\t 799\t 131
hard\t 800\t 131
groups\t 801\t 130
levels\t 802\t 130
posted\t 803\t 130
looking\t 804\t 130
committee\t 805\t 130
Canadian\t 806\t 130
Germany\t 807\t 130
makers\t 808\t 129
Britain\t 809\t 129
union\t 810\t 129
lawyers\t 811\t 129
went\t 812\t 128
short\t 813\t 128
failed\t 814\t 128
damage\t 815\t 128
countries\t 816\t 128
airline\t 817\t 128
Most\t 818\t 128
finance\t 819\t 128
interests\t 820\t 127
lead\t 821\t 127
helped\t 822\t 127
me\t 823\t 127
along\t 824\t 127
Columbia\t 825\t 127
network\t 826\t 127
Hong\t 827\t 127
Michael\t 828\t 127
#\t 829\t 127
directors\t 830\t 126
Court\t 831\t 126
completed\t 832\t 126
different\t 833\t 126
William\t 834\t 125
investments\t 835\t 125
industrial\t 836\t 125
German\t 837\t 125
although\t 838\t 125
wants\t 839\t 125
'm\t 840\t 125
something\t 841\t 125
Canada\t 842\t 125
despite\t 843\t 125
strategy\t 844\t 125
growing\t 845\t 125
World\t 846\t 124
options\t 847\t 124
doing\t 848\t 124
given\t 849\t 124
question\t 850\t 124
goods\t 851\t 123
process\t 852\t 123
14\t 853\t 123
slightly\t 854\t 123
particularly\t 855\t 122
marks\t 856\t 122
hit\t 857\t 122
performance\t 858\t 122
percentage\t 859\t 122
manufacturing\t 860\t 122
involved\t 861\t 122
food\t 862\t 122
systems\t 863\t 122
Financial\t 864\t 122
Even\t 865\t 122
estimates\t 866\t 122
remains\t 867\t 121
toward\t 868\t 121
State\t 869\t 121
Drexel\t 870\t 121
S&P\t 871\t 121
build\t 872\t 121
Series\t 873\t 121
seeking\t 874\t 120
having\t 875\t 120
Kong\t 876\t 120
Committee\t 877\t 120
television\t 878\t 120
really\t 879\t 120
leaders\t 880\t 120
17\t 881\t 120
role\t 882\t 120
huge\t 883\t 120
themselves\t 884\t 119
legislation\t 885\t 119
scheduled\t 886\t 119
200\t 887\t 119
individual\t 888\t 119
name\t 889\t 119
plants\t 890\t 119
GM\t 891\t 119
previously\t 892\t 118
project\t 893\t 118
especially\t 894\t 118
begin\t 895\t 117
North\t 896\t 117
property\t 897\t 117
3\/8\t 898\t 116
acquire\t 899\t 116
range\t 900\t 116
pressure\t 901\t 116
year-earlier\t 902\t 116
concerns\t 903\t 116
basis\t 904\t 116
disclosed\t 905\t 116
7\/8\t 906\t 116
Merrill\t 907\t 116
Richard\t 908\t 115
start\t 909\t 115
buyers\t 910\t 115
hold\t 911\t 115
always\t 912\t 115
reason\t 913\t 115
leading\t 914\t 115
French\t 915\t 115
vote\t 916\t 115
owns\t 917\t 115
military\t 918\t 115
includes\t 919\t 114
currency\t 920\t 114
measure\t 921\t 114
accounts\t 922\t 114
Calif.\t 923\t 114
course\t 924\t 114
Wednesday\t 925\t 114
started\t 926\t 114
ever\t 927\t 113
producers\t 928\t 113
activity\t 929\t 113
fourth\t 930\t 113
joint\t 931\t 113
Thursday\t 932\t 113
hours\t 933\t 113
stores\t 934\t 113
key\t 935\t 113
issued\t 936\t 113
attorney\t 937\t 113
adds\t 938\t 112
Bay\t 939\t 112
venture\t 940\t 112
seen\t 941\t 112
Dec.\t 942\t 112
largely\t 943\t 112
competition\t 944\t 112
rules\t 945\t 112
view\t 946\t 111
steel\t 947\t 111
1\/8\t 948\t 111
Judge\t 949\t 111
related\t 950\t 111
recession\t 951\t 111
institutions\t 952\t 111
Industries\t 953\t 111
April\t 954\t 111
brokerage\t 955\t 111
Rep.\t 956\t 111
abortion\t 957\t 110
allow\t 958\t 110
Lynch\t 959\t 110
J.\t 960\t 110
areas\t 961\t 110
All\t 962\t 110
'll\t 963\t 110
thing\t 964\t 110
heavy\t 965\t 110
significant\t 966\t 110
seems\t 967\t 109
great\t 968\t 109
done\t 969\t 109
Among\t 970\t 109
try\t 971\t 109
reduced\t 972\t 109
taking\t 973\t 109
outside\t 974\t 109
estimate\t 975\t 108
needed\t 976\t 108
study\t 977\t 108
campaign\t 978\t 108
independent\t 979\t 108
required\t 980\t 108
settlement\t 981\t 108
`\t 982\t 108
meet\t 983\t 107
magazine\t 984\t 107
December\t 985\t 107
turn\t 986\t 107
She\t 987\t 107
seven\t 988\t 107
black\t 989\t 107
quickly\t 990\t 107
generally\t 991\t 107
Business\t 992\t 107
bad\t 993\t 107
means\t 994\t 106
retail\t 995\t 106
mortgage\t 996\t 106
staff\t 997\t 106
form\t 998\t 106
near\t 999\t 106
receive\t 1000\t 106
Shearson\t 1001\t 106
reserves\t 1002\t 106
benefits\t 1003\t 106
turned\t 1004\t 106
simply\t 1005\t 105
Still\t 1006\t 105
convertible\t 1007\t 105
arbitrage\t 1008\t 105
man\t 1009\t 105
showed\t 1010\t 105
PLC\t 1011\t 105
kind\t 1012\t 105
Airlines\t 1013\t 105
subject\t 1014\t 105
dealers\t 1015\t 105
impact\t 1016\t 105
Eastern\t 1017\t 105
projects\t 1018\t 105
seek\t 1019\t 105
produce\t 1020\t 104
ahead\t 1021\t 104
beginning\t 1022\t 104
A.\t 1023\t 104
traded\t 1024\t 104
Meanwhile\t 1025\t 104
instead\t 1026\t 104
thought\t 1027\t 104
free\t 1028\t 104
parts\t 1029\t 104
aid\t 1030\t 104
call\t 1031\t 103
France\t 1032\t 103
Analysts\t 1033\t 103
earned\t 1034\t 103
Investors\t 1035\t 103
fees\t 1036\t 103
gold\t 1037\t 103
brokers\t 1038\t 103
CBS\t 1039\t 103
situation\t 1040\t 103
series\t 1041\t 103
house\t 1042\t 102
150\t 1043\t 102
limited\t 1044\t 102
difficult\t 1045\t 102
seem\t 1046\t 102
considered\t 1047\t 102
trust\t 1048\t 101
eight\t 1049\t 101
Trust\t 1050\t 101
Journal\t 1051\t 101
shareholder\t 1052\t 101
taxes\t 1053\t 101
labor\t 1054\t 101
Institute\t 1055\t 100
longer\t 1056\t 100
Both\t 1057\t 100
floor\t 1058\t 100
Morgan\t 1059\t 100
boost\t 1060\t 100
smaller\t 1061\t 100
lines\t 1062\t 100
returns\t 1063\t 100
merger\t 1064\t 100
Since\t 1065\t 99
Moody\t 1066\t 99
summer\t 1067\t 99
sent\t 1068\t 99
pilots\t 1069\t 99
increasing\t 1070\t 99
school\t 1071\t 99
test\t 1072\t 99
Dr.\t 1073\t 99
deficit\t 1074\t 99
daily\t 1075\t 99
hurt\t 1076\t 99
changed\t 1077\t 99
owned\t 1078\t 98
planned\t 1079\t 98
partner\t 1080\t 98
crash\t 1081\t 98
history\t 1082\t 98
anything\t 1083\t 98
majority\t 1084\t 98
Express\t 1085\t 98
1992\t 1086\t 97
stock-index\t 1087\t 97
hand\t 1088\t 97
usually\t 1089\t 97
men\t 1090\t 97
No\t 1091\t 97
became\t 1092\t 97
attempt\t 1093\t 96
Systems\t 1094\t 96
wanted\t 1095\t 96
His\t 1096\t 96
note\t 1097\t 96
Average\t 1098\t 96
base\t 1099\t 96
leader\t 1100\t 96
announcement\t 1101\t 96
evidence\t 1102\t 96
active\t 1103\t 96
children\t 1104\t 95
worth\t 1105\t 95
Service\t 1106\t 95
volatility\t 1107\t 95
Americans\t 1108\t 95
filing\t 1109\t 95
congressional\t 1110\t 95
supply\t 1111\t 95
Kidder\t 1112\t 95
directly\t 1113\t 95
preferred\t 1114\t 94
yields\t 1115\t 94
caused\t 1116\t 94
Other\t 1117\t 94
May\t 1118\t 94
1985\t 1119\t 94
veto\t 1120\t 94
limit\t 1121\t 94
pound\t 1122\t 94
per\t 1123\t 94
delivery\t 1124\t 93
sharply\t 1125\t 93
70\t 1126\t 93
francs\t 1127\t 93
session\t 1128\t 93
de\t 1129\t 93
telephone\t 1130\t 93
conditions\t 1131\t 93
Sony\t 1132\t 93
jumped\t 1133\t 93
19\t 1134\t 93
sector\t 1135\t 92
1991\t 1136\t 92
designed\t 1137\t 92
Sen.\t 1138\t 92
light\t 1139\t 92
22\t 1140\t 92
built\t 1141\t 92
George\t 1142\t 92
auction\t 1143\t 92
spokeswoman\t 1144\t 92
Digital\t 1145\t 92
women\t 1146\t 91
brand\t 1147\t 91
minimum\t 1148\t 91
continuing\t 1149\t 91
24\t 1150\t 91
Insurance\t 1151\t 91
closing\t 1152\t 91
Smith\t 1153\t 91
rest\t 1154\t 91
transactions\t 1155\t 91
believes\t 1156\t 91
age\t 1157\t 91
wage\t 1158\t 90
machine\t 1159\t 90
separate\t 1160\t 90
consider\t 1161\t 90
survey\t 1162\t 90
created\t 1163\t 90
continues\t 1164\t 90
Reserve\t 1165\t 90
size\t 1166\t 90
creditors\t 1167\t 90
short-term\t 1168\t 90
Justice\t 1169\t 90
regulators\t 1170\t 90
center\t 1171\t 90
decided\t 1172\t 89
Industrial\t 1173\t 89
natural\t 1174\t 89
quake\t 1175\t 89
hopes\t 1176\t 89
Brothers\t 1177\t 89
Guber\t 1178\t 89
security\t 1179\t 89
35\t 1180\t 89
main\t 1181\t 89
paying\t 1182\t 89
21\t 1183\t 89
80\t 1184\t 89
Dinkins\t 1185\t 89
imports\t 1186\t 89
comes\t 1187\t 89
questions\t 1188\t 89
care\t 1189\t 88
himself\t 1190\t 88
conference\t 1191\t 88
sense\t 1192\t 88
brought\t 1193\t 88
member\t 1194\t 88
1,000\t 1195\t 88
Peter\t 1196\t 88
According\t 1197\t 88
tons\t 1198\t 88
moves\t 1199\t 88
initial\t 1200\t 87
overseas\t 1201\t 87
machines\t 1202\t 87
why\t 1203\t 87
actually\t 1204\t 87
Peters\t 1205\t 87
produced\t 1206\t 87
quarterly\t 1207\t 87
Gorbachev\t 1208\t 87
SEC\t 1209\t 86
Fund\t 1210\t 86
letter\t 1211\t 86
behind\t 1212\t 86
effective\t 1213\t 86
75\t 1214\t 86
idea\t 1215\t 86
23\t 1216\t 86
Also\t 1217\t 86
strike\t 1218\t 86
press\t 1219\t 86
IRS\t 1220\t 86
Bond\t 1221\t 85
Qintex\t 1222\t 85
standard\t 1223\t 85
nothing\t 1224\t 85
software\t 1225\t 85
game\t 1226\t 85
Jr.\t 1227\t 85
Its\t 1228\t 85
Democratic\t 1229\t 85
spent\t 1230\t 85
side\t 1231\t 85
Motor\t 1232\t 85
agencies\t 1233\t 85
'd\t 1234\t 85
capacity\t 1235\t 85
space\t 1236\t 85
Because\t 1237\t 85
partly\t 1238\t 84
actual\t 1239\t 84
matter\t 1240\t 84
feel\t 1241\t 84
Hugo\t 1242\t 84
bring\t 1243\t 84
single\t 1244\t 84
Management\t 1245\t 84
exports\t 1246\t 84
Poland\t 1247\t 84
sure\t 1248\t 84
post\t 1249\t 84
unchanged\t 1250\t 83
Australia\t 1251\t 83
People\t 1252\t 83
newspaper\t 1253\t 83
final\t 1254\t 83
won\t 1255\t 83
shows\t 1256\t 83
